"[31284.3, 0]",0.33847975730895996,0,0.002968311309814453,1.2538827214578818,0.8345589637756348
"[33354.7, 0]",0.8475266695022583,0,0.8355495929718018,1.2448193687364313,0.8595414161682129
"[37849.0, 0]",0.8765305280685425,-1.88,0.8655383586883545,1.2479074655796794,0.8885219097137451
"[35645.8, 0]",0.9030238389968872,-1.94,0.8915379047393799,1.2507840489405129,0.9145278930664062
"[35411.9, 0]",0.9305416345596313,-2.008,0.9185495376586914,1.2691222678658278,0.9914731979370117
"[38616.1, 0]",1.005974292755127,-2.068,0.9944798946380615,1.3819752864079469,1.114410638809204
"[36749.6, 0]",1.1333935260772705,-2.248,1.1224000453948975,1.3737685632902743,1.1463875770568848
"[39425.9, 0]",1.1618603467941284,-2.536,1.149383544921875,1.3688826018465052,1.1743767261505127
"[37403.6, 0]",1.1918679475784302,-2.612,1.180375576019287,1.3739800767726886,1.2043590545654297
"[40554.4, 0]",1.2183666229248047,-2.676,1.20638108253479,1.3850316562288327,1.2733182907104492
"[39065.6, 0]",1.2908172607421875,-2.744,1.278308629989624,1.4403318562060363,1.4053096771240234
"[91651.7, 0]",1.6811931133270264,-2.908,1.408280849456787,1.4443929150683896,1.9541070461273193
"[90819.0, 0]",1.9711123704910278,-3.0,1.9581353664398193,1.4418759046276604,1.984088659286499
"[94037.0, 0]",1.9973409175872803,-3.0,1.9860877990722656,1.4405010669919678,2.0095882415771484
"[89896.8, 0]",2.0265846252441406,-3.0,2.0155911445617676,1.4446150042249246,2.0845510959625244
"[91105.9, 0]",2.0995473861694336,-3.0,2.0875492095947266,1.4209149185204089,2.2194926738739014
"[87909.0, 0]",2.2419873476028442,-3.0,2.227482557296753,1.4211158563287023,2.2574656009674072
"[89026.9, 0]",2.272457718849182,-3.0,2.261462450027466,1.4185671188656106,2.2844505310058594
"[91031.1, 0]",2.3019869327545166,-3.0,2.2895255088806152,1.4190218728528015,2.3144595623016357
"[91453.5, 0]",2.3284324407577515,-3.0,2.3164565563201904,1.41929684037994,2.38242244720459
"[90528.0, 0]",2.400403141975403,-3.0,2.389409303665161,1.4147175734856716,2.534414052963257
"[90846.5, 0]",2.5494117736816406,-3.0,2.5374369621276855,1.419032448526922,2.561392307281494
"[83089.7, 0]",2.5779435634613037,-3.0,2.566397190093994,1.4191699322904914,2.5896379947662354
"[84437.0, 0]",2.60459041595459,-3.0,2.593601942062378,1.4169384650510213,2.6165783405303955
"[84079.2, 0]",2.632569909095764,-3.0,2.6205761432647705,1.4135013709617896,2.694598913192749
"[78080.2, 0]",2.7125885486602783,-3.0,2.7015950679779053,1.407906839351933,2.83927321434021
"[75892.9, 0]",2.855264902114868,-3.0,2.843273639678955,1.411248752374078,2.86726713180542
"[75584.1, 0]",2.8832534551620483,-3.0,2.8712542057037354,1.4091864959205391,2.895247220993042
"[79517.6, 0]",2.910737156867981,-3.0,2.8982396125793457,1.4143474248914467,2.9252254962921143
"[77787.7, 0]",2.9427181482315063,-3.0,2.9312210083007812,1.4113122064188022,2.9911868572235107
"[78957.0, 0]",3.00770902633667,-3.0,2.9951858520507812,1.4055273126747727,3.145097494125366
"[82585.5, 0]",3.162073850631714,-3.0,3.1480982303619385,1.407018482725793,3.176079511642456
"[83014.4, 0]",3.193070411682129,-3.0,3.1810765266418457,1.407060785422276,3.2050702571868896
"[83247.0, 0]",3.219054698944092,-3.0,3.2070605754852295,1.408118352834347,3.2330551147460938
"[90000.9, 0]",3.2490345239639282,-3.0,3.237043857574463,1.4076953258695188,3.3039612770080566
"[82052.5, 0]",3.3199501037597656,-3.0,3.3079593181610107,1.4068492719398615,3.432852029800415
"[78888.7, 0]",3.4498285055160522,-3.0,3.4378502368927,1.4032112400423369,3.4618382453918457
"[82814.5, 0]",3.476501226425171,-3.0,3.46486496925354,1.4032852697611817,3.4880728721618652
"[82348.7, 0]",3.504049062728882,-3.0,3.492072105407715,1.406806969243379,3.516050100326538
"[80702.8, 0]",3.5300490856170654,-3.0,3.518079996109009,1.403052604930526,3.5860912799835205
"[78370.5, 0]",3.6020984649658203,-3.0,3.5910892486572266,1.3994039973588803,3.710636854171753
"[78711.9, 0]",3.725628614425659,-3.0,3.714634895324707,1.4010961052181945,3.7376222610473633
"[73854.2, 0]",3.7566325664520264,-3.0,3.7446486949920654,1.4003981107262273,3.7686357498168945
"[73257.9, 0]",3.7835960388183594,-3.0,3.77160906791687,1.4029679995375604,3.7955946922302246
"[77275.8, 0]",3.812579870223999,-3.0,3.801586866378784,1.4024497915056455,3.8666343688964844
"[77122.4, 0]",3.8810975551605225,-3.0,3.869601249694824,1.4016777672948333,3.9915616512298584
"[77378.7, 0]",4.010050654411316,-3.0,3.9985575675964355,1.4045120479591844,4.022524833679199
"[76047.4, 0]",4.037562727928162,-3.0,4.025543212890625,1.4022700050455934,4.049579381942749
"[75513.7, 0]",4.066070914268494,-3.0,4.053583383560181,1.4012335889817638,4.078564643859863
"[78470.4, 0]",4.092557191848755,-3.0,4.081561803817749,1.4032112400423369,4.1495325565338135
"[76895.2, 0]",4.167012333869934,-3.0,4.155517816543579,1.401804675384282,4.279715061187744
"[75591.8, 0]",4.294723987579346,-3.0,4.2827136516571045,1.4050302559910992,4.306708812713623
"[71414.4, 0]",4.323748230934143,-3.0,4.311697959899902,1.403570812962441,4.335799932479858
"[69474.7, 0]",4.348778009414673,-3.0,4.3377978801727295,1.404268807454408,4.360753774642944
"[73176.8, 0]",4.376808166503906,-3.0,4.365764141082764,1.402767061729267,4.4299092292785645
